Rank,University,Location
1,Massachusetts Institute of Technology (MIT),"Cambridge, United States"
3,Stanford University,"Stanford, United States"
5,Harvard University,"Cambridge, United States"
10,California Institute of Technology (Caltech),"Pasadena, United States"
13,University of Chicago,"Chicago, United States"
15,University of Pennsylvania,"Philadelphia, United States"
16,Cornell University,"Ithaca, United States"
=17,"University of California, Berkeley (UCB)","Berkeley, United States"
21,Yale University,"New Haven, United States"
24,Johns Hopkins University,"Baltimore, United States"
=25,Princeton University,"Princeton, United States"
=38,Columbia University,"New York City, United States"
=42,Northwestern University,"Evanston, United States"
45,University of Michigan-Ann Arbor,"Ann Arbor, United States"
46,"University of California, Los Angeles (UCLA)","Los Angeles, United States"
52,Carnegie Mellon University,"Pittsburgh, United States"
55,New York University (NYU),"New York City, United States"
62,Duke University,"Durham, United States"
66,"University of California, San Diego (UCSD)","San Diego, United States"
68,University of Texas at Austin,"Austin, United States"
69,Brown University,"Providence, United States"
=70,University of Illinois Urbana-Champaign,"Champaign, United States"
81,University of Washington,"Seattle, United States"
=82,Pennsylvania State University,"University Park, United States"
=88,Boston University,"Boston, United States"
=88,Purdue University,"West Lafayette, United States"
=110,University of Wisconsin-Madison,"Madison, United States"
=114,"University of California, Davis","Davis, United States"
=119,Rice University,"Houston, United States"
=123,Georgia Institute of Technology,"Atlanta, United States"
=140,University of North Carolina at Chapel Hill,"Chapel Hill, United States"
144,Texas A&M University,"College Station, United States"
146,University of Southern California,"Los Angeles, United States"
161,Michigan State University,"East Lansing, United States"
167,Washington University in St. Louis,"St. Louis, United States"
=173,Arizona State University,"Tempe, United States"
179,"University of California, Santa Barbara (UCSB)","Santa Barbara, United States"
182,Emory University,"Atlanta, United States"
190,The Ohio State University,"Columbus, United States"
=207,"University of Maryland, College Park","College Park, United States"
210,University of Minnesota (System),"Minneapolis, United States"
=212,University of Florida,"Gainesville, United States"
236,University of Rochester,"Rochester, United States"
=247,Dartmouth College,"Hanover, United States"
=247,University of Massachusetts Amherst,"Amherst, United States"
250,Vanderbilt University,"Nashville, United States"
=272,North Carolina State University,"Raleigh, United States"
275,University of Virginia,"Charlottesville, United States"
=281,University of Pittsburgh,"Pittsburgh, United States"
=285,Georgetown University,"Washington D.C., United States"
=287,The University of Arizona,"Tucson, United States"
293,"University of California, Irvine","Irvine, United States"
=294,Case Western Reserve University,"Cleveland, United States"
=294,University of Notre Dame,"Notre Dame, United States"
299,University of Colorado Boulder,"Boulder, United States"
=306,Indiana University Bloomington,"Bloomington, United States"
=314,University of Miami,"Miami, United States"
=328,Rutgers University–New Brunswick,"New Brunswick, United States"
=334,Tufts University,"Medford, United States"
=334,University of Illinois Chicago (UIC),"Chicago, United States"
=358,George Washington University,"Washington D.C., United States"
=358,Virginia Polytechnic Institute and State University,"Blacksburg, United States"
384,Northeastern University,"Boston, United States"
=410,University at Buffalo SUNY,"Buffalo, United States"
=423,Washington State University,"Pullman, United States"
=440,"University of California, Riverside","Riverside, United States"
449,Iowa State University,"Ames, United States"
=452,"Stony Brook University, State University of New York","Stony Brook, United States"
=458,Colorado State University,"Fort Collins, United States"
=458,"University of California, Santa Cruz","Santa Cruz, United States"
=465,University of Kansas,"Lawrence, United States"
525,The University of Georgia,"Athens, United States"
=526,Boston College,"Chestnut Hill, United States"
=530,University of Iowa,"Iowa City, United States"
534,University of Connecticut,"Storrs, United States"
=540,University of Utah,"Salt Lake City, United States"
=546,University of Hawaiʻi at Mānoa,"Honolulu, United States"
549,Florida State University,"Tallahassee, United States"
=553,University of Delaware,"Newark, United States"
=556,University of Houston,"Houston, United States"
=571,Colorado School of Mines,"Golden, United States"
=582,Florida International University,"Miami, United States"
=587,American University,"Washington D.C., United States"
=591,Illinois Institute of Technology,"Chicago, United States"
=597,Tulane University,"New Orleans, United States"
=597,University of Texas at Dallas,"Richardson, United States"
=607,"The University of Tennessee, Knoxville","Knoxville, United States"
=613,City University of New York,"New York City, United States"
=624,Oregon State University,"Corvallis, United States"
=624,Yeshiva University,"New York City, United States"
=628,Missouri University of Science and Technology,"Rolla, United States"
=628,University of South Carolina,"Columbia, United States"
=654,University of South Florida,"Tampa, United States"
=664,University of Oklahoma,"Norman, United States"
=668,Lehigh University,"Bethlehem, United States"
=673,Stevens Institute of Technology,"Hoboken, United States"
695,Rensselaer Polytechnic Institute,"Troy, United States"
=697,"University of Missouri, Columbia","Columbia, United States"
701-710,University of Central Florida,"Orlando, United States"
711-720,Drexel University,"Philadelphia, United States"
711-720,University of Nebraska - Lincoln,"Lincoln, United States"
721-730,Temple University,"Philadelphia, United States"
721-730,University of Cincinnati,"Cincinnati, United States"
731-740,Texas Tech University,"Lubbock, United States"
741-750,Brandeis University,"Waltham, United States"
741-750,Syracuse University,"Syracuse, United States"
