Rank,University,City,State
3,Stanford University,Stanford,CA
10,California Institute of Technology (Caltech),Pasadena,CA
17,"University of California, Berkeley (UCB)",Berkeley,CA
46,"University of California, Los Angeles (UCLA)",Los Angeles,CA
66,"University of California, San Diego (UCSD)",San Diego,CA
114,"University of California, Davis",Davis,CA
179,"University of California, Santa Barbara (UCSB)",Santa Barbara,CA
293,"University of California, Irvine",Irvine,CA
440,"University of California, Riverside",Riverside,CA
458,"University of California, Santa Cruz",Santa Cruz,CA
1001,San Diego State University,San Diego,CA
1201,California Polytechnic State University,San Luis Obispo,CA
1201,University of San Diego,San Diego,CA
1201,University of San Francisco,San Francisco,CA
1401,San Francisco State University,San Francisco,CA
1401,University of the Pacific,Stockton,CA
299,University of Colorado Boulder,Boulder,CO
458,Colorado State University,Fort Collins,CO
571,Colorado School of Mines,Golden,CO
851,"University of Colorado, Denver",Denver,CO
1001,University of Denver,Denver,CO
21,Yale University,New Haven,CT
534,University of Connecticut,Storrs,CT
358,George Washington University,Washington D.C.,DC
212,University of Florida,Gainesville,FL
314,University of Miami,Miami,FL
549,Florida State University,Tallahassee,FL
582,Florida International University,Miami,FL
654,University of South Florida,Tampa,FL
701,University of Central Florida,Orlando,FL
182,Emory University,Atlanta,GA
525,The University of Georgia,Athens,GA
781,Georgia State University,Atlanta,GA
546,University of Hawaiʻi at Mānoa,Honolulu,HI
449,Iowa State University,Ames,IA
530,University of Iowa,Iowa City,IA
13,University of Chicago,Chicago,IL
42,Northwestern University,Evanston,IL
70,University of Illinois Urbana-Champaign,Champaign,IL
334,University of Illinois Chicago (UIC),Chicago,IL
591,Illinois Institute of Technology,Chicago,IL
88,Purdue University,West Lafayette,IN
294,University of Notre Dame,Notre Dame,IN
306,Indiana University Bloomington,Bloomington,IN
465,University of Kansas,Lawrence,KS
901,Kansas State University,Manhattan,KS
781,University of Kentucky,Lexington,KY
597,Tulane University,New Orleans,LA
851,Louisiana State University,Baton Rouge,LA
88,Boston University,Boston,MA
247,University of Massachusetts Amherst,Amherst,MA
334,Tufts University,Medford,MA
384,Northeastern University,Boston,MA
526,Boston College,Chestnut Hill,MA
24,Johns Hopkins University,Baltimore,MD
207,"University of Maryland, College Park",College Park,MD
45,University of Michigan-Ann Arbor,Ann Arbor,MI
161,Michigan State University,East Lansing,MI
210,University of Minnesota,Minneapolis,MN
167,Washington University in St. Louis,St. Louis,MO
628,Missouri University of Science and Technology,Rolla,MO
951,Saint Louis University,St. Louis,MO
62,Duke University,Durham,NC
140,University of North Carolina at Chapel Hill,Chapel Hill,NC
272,North Carolina State University,Raleigh,NC
711,University of Nebraska - Lincoln,Lincoln,NE
247,Dartmouth College,Hanover,NH
328,Rutgers University–New Brunswick,New Brunswick,NJ
771,Rutgers University–Newark,Newark,NJ
1001,University of Nevada - Reno,Reno,NV
16,Cornell University,Ithaca,NY
38,Columbia University,New York City,NY
55,New York University (NYU),New York City,NY
236,University of Rochester,Rochester,NY
410,University at Buffalo SUNY,Buffalo,NY
452,"Stony Brook University, SUNY",Stony Brook,NY
741,Syracuse University,Syracuse,NY
901,University at Albany SUNY,Albany,NY
951,Rochester Institute of Technology (RIT),Rochester,NY
190,The Ohio State University,Columbus,OH
721,University of Cincinnati,Cincinnati,OH
851,Oklahoma State University,Stillwater,OK
52,Carnegie Mellon University,Pittsburgh,PA
82,Pennsylvania State University,University Park,PA
281,University of Pittsburgh,Pittsburgh,PA
69,Brown University,Providence,RI
628,University of South Carolina,Columbia,SC
250,Vanderbilt University,Nashville,TN
607,"The University of Tennessee, Knoxville",Knoxville,TN
68,University of Texas at Austin,Austin,TX
119,Rice University,Houston,TX
144,Texas A&M University,College Station,TX
556,University of Houston,Houston,TX
597,University of Texas at Dallas,Richardson,TX
731,Texas Tech University,Lubbock,TX
901,University of North Texas,Denton,TX
1001,University of Texas at Arlington,Arlington,TX
1001,University of Texas at San Antonio,San Antonio,TX
540,University of Utah,Salt Lake City,UT
275,University of Virginia,Charlottesville,VA
358,Virginia Polytechnic Institute and State Univ.,Blacksburg,VA
81,University of Washington,Seattle,WA
423,Washington State University,Pullman,WA
1201,Seattle University,Seattle,WA
110,University of Wisconsin-Madison,Madison,WI
901,University of Alaska Fairbanks,Fairbanks,AK
851,Auburn University,Auburn,AL
173,Arizona State University,Tempe,AZ
287,The University of Arizona,Tucson,AZ
1001,Northern Arizona University,Flagstaff,AZ
