University,Location
Massachusetts Institute of Technology (MIT),"Cambridge, United States"
Stanford University,"Stanford, United States"
Harvard University,"Cambridge, United States"
California Institute of Technology (Caltech),"Pasadena, United States"
University of Chicago,"Chicago, United States"
University of Pennsylvania,"Philadelphia, United States"
Cornell University,"Ithaca, United States"
"University of California, Berkeley (UCB)","Berkeley, United States"
Yale University,"New Haven, United States"
Johns Hopkins University,"Baltimore, United States"
Princeton University,"Princeton, United States"
Columbia University,"New York City, United States"
Northwestern University,"Evanston, United States"
University of Michigan-Ann Arbor,"Ann Arbor, United States"
"University of California, Los Angeles (UCLA)","Los Angeles, United States"
Carnegie Mellon University,"Pittsburgh, United States"
New York University (NYU),"New York City, United States"
Duke University,"Durham, United States"
"University of California, San Diego (UCSD)","San Diego, United States"
University of Texas at Austin,"Austin, United States"
Brown University,"Providence, United States"
University of Illinois Urbana-Champaign,"Champaign, United States"
University of Washington,"Seattle, United States"
Pennsylvania State University,"University Park, United States"
Boston University,"Boston, United States"
Purdue University,"West Lafayette, United States"
University of Wisconsin-Madison,"Madison, United States"
"University of California, Davis","Davis, United States"
Rice University,"Houston, United States"
Georgia Institute of Technology,"Atlanta, United States"
University of North Carolina at Chapel Hill,"Chapel Hill, United States"
Texas A&M University,"College Station, United States"
University of Southern California,"Los Angeles, United States"
Michigan State University,"East Lansing, United States"
Washington University in St. Louis,"St. Louis, United States"
Arizona State University,"Tempe, United States"
"University of California, Santa Barbara (UCSB)","Santa Barbara, United States"
Emory University,"Atlanta, United States"
The Ohio State University,"Columbus, United States"
"University of Maryland, College Park","College Park, United States"
University of Minnesota (System),"Minneapolis, United States"
University of Florida,"Gainesville, United States"
University of Rochester,"Rochester, United States"
Dartmouth College,"Hanover, United States"
University of Massachusetts Amherst,"Amherst, United States"
Vanderbilt University,"Nashville, United States"
North Carolina State University,"Raleigh, United States"
University of Virginia,"Charlottesville, United States"
University of Pittsburgh,"Pittsburgh, United States"
Georgetown University,"Washington D.C., United States"
The University of Arizona,"Tucson, United States"
"University of California, Irvine","Irvine, United States"
Case Western Reserve University,"Cleveland, United States"
University of Notre Dame,"Notre Dame, United States"
University of Colorado Boulder,"Boulder, United States"
Indiana University Bloomington,"Bloomington, United States"
University of Miami,"Miami, United States"
Rutgers University–New Brunswick,"New Brunswick, United States"
Tufts University,"Medford, United States"
University of Illinois Chicago (UIC),"Chicago, United States"
George Washington University,"Washington D.C., United States"
Virginia Polytechnic Institute and State University,"Blacksburg, United States"
Northeastern University,"Boston, United States"
University at Buffalo SUNY,"Buffalo, United States"
Washington State University,"Pullman, United States"
"University of California, Riverside","Riverside, United States"
Iowa State University,"Ames, United States"
"Stony Brook University, State University of New York","Stony Brook, United States"
Colorado State University,"Fort Collins, United States"
"University of California, Santa Cruz","Santa Cruz, United States"
University of Kansas,"Lawrence, United States"
The University of Georgia,"Athens, United States"
Boston College,"Chestnut Hill, United States"
University of Iowa,"Iowa City, United States"
University of Connecticut,"Storrs, United States"
University of Utah,"Salt Lake City, United States"
University of Hawaiʻi at Mānoa,"Honolulu, United States"
Florida State University,"Tallahassee, United States"
University of Delaware,"Newark, United States"
University of Houston,"Houston, United States"
Colorado School of Mines,"Golden, United States"
Florida International University,"Miami, United States"
American University,"Washington D.C., United States"
Illinois Institute of Technology,"Chicago, United States"
Tulane University,"New Orleans, United States"
University of Texas at Dallas,"Richardson, United States"
"The University of Tennessee, Knoxville","Knoxville, United States"
City University of New York,"New York City, United States"
Oregon State University,"Corvallis, United States"
Yeshiva University,"New York City, United States"
Missouri University of Science and Technology,"Rolla, United States"
University of South Carolina,"Columbia, United States"
University of South Florida,"Tampa, United States"
University of Oklahoma,"Norman, United States"
Lehigh University,"Bethlehem, United States"
Stevens Institute of Technology,"Hoboken, United States"
Rensselaer Polytechnic Institute,"Troy, United States"
"University of Missouri, Columbia","Columbia, United States"
University of Central Florida,"Orlando, United States"
Drexel University,"Philadelphia, United States"
University of Nebraska - Lincoln,"Lincoln, United States"
Temple University,"Philadelphia, United States"
University of Cincinnati,"Cincinnati, United States"
Texas Tech University,"Lubbock, United States"
Brandeis University,"Waltham, United States"
Syracuse University,"Syracuse, United States"
University of New Mexico,"Albuquerque, United States"
University of Oregon,"Eugene, United States"
New Jersey Institute of Technology (NJIT),"Newark, United States"
Rutgers University–Newark,"Newark, United States"
Georgia State University,"Atlanta, United States"
University of Kentucky,"Lexington, United States"
Wayne State University,"Detroit, United States"
Wake Forest University,"Winston-Salem, United States"
"The New School, New York City and Paris","New York, United States"
"University of Maryland, Baltimore","Baltimore, United States"
"University of Maryland, Baltimore County","Baltimore, United States"
Auburn University,"Auburn, United States"
Louisiana State University,"Baton Rouge, United States"
Oklahoma State University,"Stillwater, United States"
"University of Colorado, Denver","Denver, United States"
Worcester Polytechnic Institute,"Worcester, United States"
Kansas State University,"Manhattan, United States"
Michigan Technological University,"Houghton, United States"
The University of Alabama,"Tuscaloosa, United States"
University at Albany SUNY,"Albany, United States"
University of Alaska Fairbanks,"Fairbanks, United States"
University of North Texas,"Denton, United States"
Virginia Commonwealth University,"Richmond, United States"
Clarkson University,"Potsdam, United States"
Clemson University,"Clemson, United States"
George Mason University,"Fairfax, United States"
Rochester Institute of Technology (RIT),"Rochester, United States"
Saint Louis University,"St. Louis, United States"
University of Massachusetts Boston,"Boston, United States"
Baylor University,"Waco, United States"
Binghamton University SUNY,"Binghamton, United States"
Brigham Young University,"Provo, United States"
The City College of New York,"New York City, United States"
Clark University,"Worcester, United States"
William & Mary,"Williamsburg, United States"
Florida Atlantic University - Boca Raton,"Boca Raton, United States"
Fordham University,"New York City, United States"
Howard University,"Washington D.C., United States"
Indiana University Indianapolis (IU Indianapolis),"Indianapolis, United States"
Kent State University,"Kent, United States"
Loyola University Chicago,"Chicago, United States"
Mississippi State University,"Starkville, United States"
Northern Arizona University,"Flagstaff, United States"
Ohio University,"Athens, United States"
